2018-04-20 09:22:31,997 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '哈弗', '车辆数:', 0, '耗时:', 1.892843246459961, '秒')] - [renrenche.py:416]
2018-04-20 09:22:33,017 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '海马', '车辆数:', 0, '耗时:', 0.9747722148895264, '秒')] - [renrenche.py:416]
2018-04-20 09:22:33,910 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '悍马', '车辆数:', 0, '耗时:', 0.8544154167175293, '秒')] - [renrenche.py:416]
2018-04-20 09:22:34,769 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '恒天', '车辆数:', 0, '耗时:', 0.8149714469909668, '秒')] - [renrenche.py:416]
2018-04-20 09:22:35,719 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '红旗', '车辆数:', 0, '耗时:', 0.9088306427001953, '秒')] - [renrenche.py:416]
2018-04-20 09:22:36,548 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '黄海', '车辆数:', 0, '耗时:', 0.76641845703125, '秒')] - [renrenche.py:416]
2018-04-20 09:22:37,352 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '华普', '车辆数:', 0, '耗时:', 0.7637836933135986, '秒')] - [renrenche.py:416]
2018-04-20 09:22:38,177 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '华泰', '车辆数:', 0, '耗时:', 0.7704591751098633, '秒')] - [renrenche.py:416]
2018-04-20 09:22:39,044 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', 'Jeep', '车辆数:', 0, '耗时:', 0.8309409618377686, '秒')] - [renrenche.py:416]
2018-04-20 09:22:40,069 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '江淮', '车辆数:', 0, '耗时:', 0.9775586128234863, '秒')] - [renrenche.py:416]
2018-04-20 09:22:40,921 - rrc-process[1] - INFO - [('地区及品牌', '邯郸', '江铃', '车辆数:', 0, '耗时:', 0.8175332546234131, '秒')] - [renrenche.py:416]
